"","listing_id","availability_30","price_30","revenue_30"
"398",2460937,27,45,135
"399",2487771,20,80,800
"400",2520167,20,89,890
"401",2531084,22,77.25,618
"402",2549437,16,41,574
"403",2561524,0,50,1500
"404",2564852,21,90,810
"405",2569061,30,NA,0
"406",2569328,1,29,841
"407",2569405,0,58,1740
"408",2570782,28,60,120
"409",2571378,20,89,890
"410",2577314,12,102.5,1845
"411",2583648,28,68,136
"412",2588890,29,75,75
"413",2595206,29,50,50
"414",2595991,0,105.333333333333,3160
"415",2600867,16,46.1428571428571,646
"416",2605787,0,30,900
"417",2616488,0,28,840
"418",2618199,22,52.375,419
"419",2620127,18,85,1020
"420",2622561,29,65,65
"421",2630153,0,180,5400
"422",2630617,16,48.5714285714286,680
"423",2643928,0,40,1200
"424",2658616,30,NA,0
"425",2659171,0,120,3600
"426",2660276,2,110,3080
"427",2664201,29,55,55
"428",2667997,29,60,60
"429",2670544,30,NA,0
"430",2673571,30,NA,0
"431",2677533,30,NA,0
"432",2684475,29,28,28
"433",2707482,0,250,7500
"434",2724488,28,26,52
"435",2727742,25,60,300
"436",2745137,28,38,76
"437",2747264,30,NA,0
"438",2754217,30,NA,0
"439",2756099,25,40,200
"440",2757336,14,58.5625,937
"441",2760276,0,25,750
"442",2762965,29,25,25
"443",2776582,29,65,65
"444",2788770,30,NA,0
"445",2791372,30,NA,0
"446",2794568,27,85,255
"447",2807243,18,30,360
"448",2827817,28,29,58
"449",2842226,28,38,76
"450",2852893,30,NA,0
"451",2854220,0,34.4,1032
"452",2862478,24,51.6666666666667,310
"453",2900232,29,86,86
"454",2914609,0,60,1800
"455",2929258,30,NA,0
"456",2930904,28,28,56
"457",2937894,0,57.3333333333333,1720
"458",2938396,0,25.6,768
"459",2944563,29,61,61
"460",2952014,23,37.2857142857143,261
"461",2955658,16,120,1680
"462",2966587,30,NA,0
"463",2992207,0,260,7800
"464",3021680,28,28,56
"465",3027648,29,28,28
"466",3068843,30,NA,0
"467",3077217,30,NA,0
"468",3088417,0,20,600
"469",3108319,0,45,1350
"470",3112639,29,50,50
"471",3117591,0,28,840
"472",3121700,26,76,304
"473",3122884,0,29,870
"474",3126207,0,22,660
"475",3127498,25,145.8,729
"476",3149646,29,94,94
"477",3178429,30,NA,0
"478",3181561,30,NA,0
"479",3198208,27,52,156
"480",3233342,0,35,1050
"481",3237140,0,79.8,2394
"482",3247106,30,NA,0
"483",3286501,4,40,1040
"484",3288788,16,56.8571428571429,796
