"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"15042","portugal","lisbon",2020-06-23,27273326,"Misericrdia",38.70988,-9.15201,"Apartment","Entire home/apt",6,3,4,150,2,1125,0,150,4500
"15043","portugal","lisbon",2020-06-23,27274874,"Arroios",38.72293,-9.13387,"Apartment","Private room",4,1,3,80,1,30,0,60,1800
"15044","portugal","lisbon",2020-06-23,27275678,"Alvalade",38.75839,-9.14027,"Apartment","Private room",2,1,1,13,2,15,0,22,660
"15045","portugal","lisbon",2020-06-23,27276308,"Alfragide",38.73799,-9.2174,"Apartment","Entire home/apt",6,3,4,49,4,1125,29,50,50
"15046","portugal","lisbon",2020-06-23,27276600,"Misericrdia",38.71554,-9.14638,"Apartment","Entire home/apt",6,3,5,63,1,1125,30,0,0
"15047","portugal","lisbon",2020-06-23,27276665,"Cascais e Estoril",38.69743,-9.42497,"Apartment","Entire home/apt",2,1,1,65,3,1125,29,99,99
"15048","portugal","lisbon",2020-06-23,27280548,"Misericrdia",38.71271,-9.15029,"Apartment","Entire home/apt",2,1,1,150,1,1125,14,146.25,2340
"15049","portugal","lisbon",2020-06-23,27280649,"Misericrdia",38.71265,-9.14984,"Apartment","Entire home/apt",2,1,1,150,1,1125,14,166.25,2660
"15050","portugal","lisbon",2020-06-23,27282640,"Alcabideche",38.71153,-9.41512,"Apartment","Entire home/apt",4,1,2,50,3,1125,0,58.8333333333333,1765
"15051","portugal","lisbon",2020-06-23,27283428,"Areeiro",38.74378,-9.14452,"Apartment","Entire home/apt",5,2,2,150,3,1125,0,76,2280
"15052","portugal","lisbon",2020-06-23,27283660,"Carcavelos e Parede",38.68804,-9.33068,"Hostel","Private room",7,1,6,89,1,1125,18,44,528
"15053","portugal","lisbon",2020-06-23,27296899,"Arroios",38.73327,-9.14272,"Apartment","Private room",2,1,1,65,1,1125,30,0,0
"15054","portugal","lisbon",2020-06-23,27298109,"Campo de Ourique",38.71961,-9.16285,"Apartment","Entire home/apt",6,3,4,70,2,40,24,90,540
"15055","portugal","lisbon",2020-06-23,27298492,"Santa Maria Maior",38.71464,-9.13225,"Apartment","Entire home/apt",4,1,1,50,2,28,30,0,0
"15056","portugal","lisbon",2020-06-23,27304453,"Arroios",38.73389,-9.14361,"Apartment","Private room",2,1,1,50,1,1125,30,0,0
"15057","portugal","lisbon",2020-06-23,27305579,"Misericrdia",38.7093,-9.1498,"Apartment","Entire home/apt",4,1,2,90,2,999,30,0,0
"15058","portugal","lisbon",2020-06-23,27306632,"Santa Maria Maior",38.7119,-9.12997,"Apartment","Entire home/apt",4,2,3,75,3,1125,30,0,0
"15059","portugal","lisbon",2020-06-23,27308097,"So Joo das Lampas e Terrugem",38.84918,-9.42923,"Villa","Entire home/apt",10,4,8,208,3,1125,30,0,0
"15060","portugal","lisbon",2020-06-23,27310368,"Campo de Ourique",38.71879,-9.16345,"Apartment","Entire home/apt",4,1,2,90,3,90,30,0,0
"15061","portugal","lisbon",2020-06-23,27310600,"Santo Antnio",38.71839,-9.14601,"Apartment","Entire home/apt",6,2,4,160,2,1125,0,78,2340
"15062","portugal","lisbon",2020-06-23,27311435,"Santa Maria Maior",38.71165,-9.12809,"Apartment","Entire home/apt",4,2,3,75,3,1125,29,75,75
"15063","portugal","lisbon",2020-06-23,27311443,"Estrela",38.71009,-9.15897,"Apartment","Entire home/apt",5,3,3,40,3,1125,4,83.0769230769231,2160
"15064","portugal","lisbon",2020-06-23,27319276,"Lourinh e Atalaia",39.26611,-9.32975,"Apartment","Entire home/apt",8,3,4,80,3,1125,8,119.090909090909,2620
"15065","portugal","lisbon",2020-06-23,27319548,"Arroios",38.73331,-9.13434,"Guesthouse","Entire home/apt",2,1,1,50,2,28,0,63.3666666666667,1901
"15066","portugal","lisbon",2020-06-23,27320087,"Arroios",38.73368,-9.14243,"Apartment","Shared room",10,1,10,13,1,1125,30,0,0
"15067","portugal","lisbon",2020-06-23,27320844,"Arroios",38.73343,-9.14386,"Apartment","Shared room",4,1,4,14,1,1125,30,0,0
"15068","portugal","lisbon",2020-06-23,27321114,"Arroios",38.72206,-9.13544,"Guest suite","Private room",2,1,1,35,2,7,0,48.0666666666667,1442
"15069","portugal","lisbon",2020-06-23,27321117,"Arroios",38.73394,-9.14404,"Apartment","Private room",2,1,1,50,1,1125,30,0,0
"15070","portugal","lisbon",2020-06-23,27321259,"Misericrdia",38.71464,-9.14688,"Apartment","Entire home/apt",4,1,2,200,1,1125,30,0,0
"15071","portugal","lisbon",2020-06-23,27321671,"Misericrdia",38.71499,-9.14734,"Apartment","Entire home/apt",4,1,2,200,1,1125,25,50.6,253
"15072","portugal","lisbon",2020-06-23,27324622,"Cascais e Estoril",38.69577,-9.42219,"Apartment","Entire home/apt",4,1,3,120,3,1125,10,108.7,2174
"15073","portugal","lisbon",2020-06-23,27326497,"Cascais e Estoril",38.6958,-9.42842,"Condominium","Entire home/apt",8,3,6,98,2,1125,27,171,513
"15074","portugal","lisbon",2020-06-23,27327881,"Lumiar",38.7675,-9.15894,"Apartment","Entire home/apt",4,2,3,1000,2,31,0,784.166666666667,23525
"15075","portugal","lisbon",2020-06-23,27330646,"Cascais e Estoril",38.70492,-9.40704,"Apartment","Entire home/apt",6,3,5,450,2,1125,23,300,2100
"15076","portugal","lisbon",2020-06-23,27332106,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79868,-9.38523,"Apartment","Entire home/apt",6,3,4,100,1,1125,17,71.5384615384615,930
"15077","portugal","lisbon",2020-06-23,27336428,"Ajuda",38.70305,-9.2012,"Apartment","Entire home/apt",4,1,2,75,3,1125,30,0,0
"15078","portugal","lisbon",2020-06-23,27336803,"Avenidas Novas",38.74086,-9.14452,"Serviced apartment","Hotel room",2,1,1,144,1,1125,29,46,46
"15079","portugal","lisbon",2020-06-23,27336912,"Avenidas Novas",38.74161,-9.14536,"Serviced apartment","Hotel room",2,1,1,144,1,1125,30,0,0
"15080","portugal","lisbon",2020-06-23,27336998,"Avenidas Novas",38.74165,-9.14377,"Serviced apartment","Hotel room",2,1,1,191,1,1125,30,0,0
"15081","portugal","lisbon",2020-06-23,27337073,"Avenidas Novas",38.73998,-9.1456,"Serviced apartment","Hotel room",2,1,1,160,1,1125,20,65,650
"15082","portugal","lisbon",2020-06-23,27338131,"Santo Antnio",38.71574,-9.14336,"Apartment","Entire home/apt",6,2,4,80,2,1000,30,0,0
"15083","portugal","lisbon",2020-06-23,27341276,"Cascais e Estoril",38.69896,-9.42318,"Apartment","Entire home/apt",5,2,4,60,5,1125,0,60,1800
"15084","portugal","lisbon",2020-06-23,27348289,"Ericeira",38.97064,-9.40262,"House","Private room",2,1,2,30,1,15,2,48.2857142857143,1352
"15085","portugal","lisbon",2020-06-23,27349246,"Estrela",38.70854,-9.15458,"Apartment","Entire home/apt",4,2,3,60,1,20,15,40.8,612
"15086","portugal","lisbon",2020-06-23,27350522,"Estrela",38.70846,-9.16152,"House","Private room",2,1,2,33,2,31,23,25,175
"15087","portugal","lisbon",2020-06-23,27350594,"Cascais e Estoril",38.69964,-9.43535,"Apartment","Entire home/apt",8,3,5,250,3,1125,0,379.533333333333,11386
"15088","portugal","lisbon",2020-06-23,27350960,"Alvalade",38.75001,-9.15076,"Apartment","Entire home/apt",5,1,3,120,1,1125,29,108,108
"15089","portugal","lisbon",2020-06-23,27352519,"Colares",38.80003,-9.46742,"House","Entire home/apt",14,5,8,350,3,1125,30,0,0
"15090","portugal","lisbon",2020-06-23,27354109,"Colares",38.80021,-9.44121,"Cottage","Entire home/apt",3,2,2,80,2,30,28,100,200
"15091","portugal","lisbon",2020-06-23,27354418,"Estrela",38.70835,-9.15547,"Apartment","Entire home/apt",2,1,1,85,2,28,0,45.7333333333333,1372
"15092","portugal","lisbon",2020-06-23,27358047,"Arroios",38.71918,-9.13785,"Apartment","Entire home/apt",4,1,2,70,2,1125,4,100,2600
"15093","portugal","lisbon",2020-06-23,27359446,"Venda do Pinheiro e Santo Estvo das Gals",38.93094,-9.22549,"Villa","Private room",5,2,4,25,2,180,28,35,70
"15094","portugal","lisbon",2020-06-23,27360307,"Arroios",38.7175,-9.13687,"Apartment","Entire home/apt",4,1,1,70,3,1125,26,50,200
"15095","portugal","lisbon",2020-06-23,27360724,"Misericrdia",38.71054,-9.15267,"Apartment","Entire home/apt",6,2,3,104,2,180,0,131.266666666667,3938
"15096","portugal","lisbon",2020-06-23,27360917,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70332,-9.23073,"Apartment","Entire home/apt",4,2,3,60,2,1125,21,70.1111111111111,631
"15097","portugal","lisbon",2020-06-23,27360968,"Arroios",38.71655,-9.13819,"Apartment","Entire home/apt",6,2,3,75,3,1125,30,0,0
"15098","portugal","lisbon",2020-06-23,27361410,"Misericrdia",38.71225,-9.15065,"Apartment","Entire home/apt",4,1,2,250,1,1125,28,190,380
"15099","portugal","lisbon",2020-06-23,27361511,"Misericrdia",38.7111,-9.14999,"Apartment","Entire home/apt",4,1,2,300,1,1125,28,230,460
"15100","portugal","lisbon",2020-06-23,27361674,"Misericrdia",38.7111,-9.15177,"Apartment","Private room",4,1,2,350,1,1125,30,0,0
"15101","portugal","lisbon",2020-06-23,27362090,"Misericrdia",38.71159,-9.15154,"Apartment","Entire home/apt",4,1,2,350,1,1125,30,0,0
"15102","portugal","lisbon",2020-06-23,27362197,"Misericrdia",38.71256,-9.14967,"Apartment","Entire home/apt",4,1,2,400,1,1125,11,167.894736842105,3190
"15103","portugal","lisbon",2020-06-23,27362398,"Misericrdia",38.71298,-9.14971,"Apartment","Entire home/apt",4,1,2,350,1,1125,11,207.894736842105,3950
"15104","portugal","lisbon",2020-06-23,27364237,"Arroios",38.73096,-9.13575,"Apartment","Entire home/apt",4,3,3,74,4,1125,0,120.733333333333,3622
"15105","portugal","lisbon",2020-06-23,27366830,"Miragaia e Marteleira",39.23641,-9.26366,"House","Private room",2,2,3,32,3,20,30,0,0
"15106","portugal","lisbon",2020-06-23,27366860,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.69547,-9.32782,"Apartment","Private room",1,1,1,22,3,60,20,22,220
"15107","portugal","lisbon",2020-06-23,27367599,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79789,-9.38528,"House","Entire home/apt",5,3,3,110,2,1125,30,0,0
"15108","portugal","lisbon",2020-06-23,27367693,"So Vicente",38.7157,-9.13032,"Apartment","Private room",1,1,1,45,2,20,0,46.3333333333333,1390
"15109","portugal","lisbon",2020-06-23,27367780,"Avenidas Novas",38.73185,-9.15108,"Apartment","Entire home/apt",5,2,2,55,2,30,30,0,0
"15110","portugal","lisbon",2020-06-23,27380577,"Parque das Naes",38.77482,-9.09731,"Apartment","Entire home/apt",6,3,3,152,3,20,26,185,740
"15111","portugal","lisbon",2020-06-23,27381629,"Penha de Frana",38.72935,-9.1283,"Apartment","Entire home/apt",4,2,3,37,2,1125,0,34.4333333333333,1033
"15112","portugal","lisbon",2020-06-23,27382288,"Santa Maria Maior",38.71346,-9.13646,"Apartment","Entire home/apt",4,1,2,70,3,1125,23,87.5714285714286,613
"15113","portugal","lisbon",2020-06-23,27382646,"Misericrdia",38.7089,-9.14883,"Apartment","Entire home/apt",2,1,1,75,2,1125,26,65,260
"15114","portugal","lisbon",2020-06-23,27386169,"So Vicente",38.71732,-9.12908,"Apartment","Entire home/apt",6,2,3,79,2,1125,30,0,0
"15115","portugal","lisbon",2020-06-23,27386224,"Estrela",38.71527,-9.16317,"Apartment","Entire home/apt",8,4,5,195,2,1125,28,250,500
"15116","portugal","lisbon",2020-06-23,27387449,"Misericrdia",38.71286,-9.14984,"Apartment","Entire home/apt",4,1,1,70,2,1125,0,70,2100
"15117","portugal","lisbon",2020-06-23,27388367,"Alcntara",38.70208,-9.18183,"Apartment","Entire home/apt",5,2,2,97,1,15,22,42.5,340
"15118","portugal","lisbon",2020-06-23,27392405,"Alvalade",38.75001,-9.15076,"Apartment","Entire home/apt",4,1,2,80,1,1125,25,108,540
"15119","portugal","lisbon",2020-06-23,27392632,"So Vicente",38.71802,-9.12424,"Apartment","Private room",2,1,2,45,1,1125,0,48.8,1464
"15120","portugal","lisbon",2020-06-23,27392780,"Alvalade",38.75001,-9.15076,"Guesthouse","Private room",4,1,2,80,1,1125,28,90,180
"15121","portugal","lisbon",2020-06-23,27392876,"Alcntara",38.70208,-9.18183,"Apartment","Entire home/apt",5,2,2,70,1,15,21,99,891
"15122","portugal","lisbon",2020-06-23,27392877,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80153,-9.37533,"Apartment","Entire home/apt",8,4,6,150,2,125,27,95,285
"15123","portugal","lisbon",2020-06-23,27393067,"Alvalade",38.75001,-9.15076,"Guesthouse","Private room",2,1,1,75,1,1125,23,92.5714285714286,648
"15124","portugal","lisbon",2020-06-23,27395549,"Alcntara",38.70208,-9.18183,"Apartment","Entire home/apt",6,2,3,168,1,15,10,113.75,2275
