"","listing_id","availability_30","price_30","revenue_30"
"234",954437,22,260,2080
"235",957667,29,68,68
"236",959625,15,60,900
"237",961401,30,NA,0
"238",961665,5,55.6,1390
"239",962386,29,140,140
"240",963031,26,100,400
"241",963724,20,80.5,805
"242",963768,22,80,640
"243",965015,8,203.409090909091,4475
"244",965939,30,NA,0
"245",967054,25,541.8,2709
"246",968110,30,NA,0
"247",969046,20,160,1600
"248",973825,17,63.4615384615385,825
"249",979765,29,140,140
"250",979876,29,130,130
"251",980719,30,NA,0
"252",981093,29,160,160
"253",981492,29,145,145
"254",981551,29,145,145
"255",982174,29,85,85
"256",985092,16,605,8470
"257",986104,28,900,1800
"258",986300,23,120,840
"259",986832,30,NA,0
"260",986986,22,163.25,1306
"261",988589,29,175,175
"262",988596,29,140,140
"263",989414,8,240.454545454545,5290
"264",990086,27,170,510
"265",991129,17,47,611
"266",992584,15,658,9870
"267",993333,16,179.285714285714,2510
"268",993553,29,185,185
"269",995932,29,140,140
"270",998082,30,NA,0
"271",999380,19,160,1760
"272",999519,25,250,1250
"273",1000614,29,171,171
"274",1004825,4,45.6153846153846,1186
"275",1008113,23,275,1925
"276",1008504,30,NA,0
"277",1008571,30,NA,0
"278",1009951,1,645,18705
"279",1010493,17,296.769230769231,3858
"280",1010656,28,158,316
"281",1010669,18,306.666666666667,3680
"282",1011127,28,225,450
"283",1013044,20,84.4,844
"284",1013602,30,NA,0
"285",1015659,24,19,114
"286",1015774,24,45,270
"287",1015869,0,99,2970
"288",1020820,30,NA,0
"289",1021402,30,NA,0
"290",1025165,12,128,2304
"291",1025347,9,170.47619047619,3580
"292",1026087,30,NA,0
"293",1026973,29,85,85
"294",1029121,29,192,192
"295",1031351,30,NA,0
"296",1036207,30,NA,0
"297",1036385,0,70,2100
"298",1038006,29,120,120
"299",1040457,18,115.833333333333,1390
"300",1040517,29,101,101
"301",1043809,0,132.333333333333,3970
"302",1044643,28,128,256
"303",1046018,21,404.444444444444,3640
"304",1047216,29,107,107
"305",1055849,17,143.846153846154,1870
"306",1057363,30,NA,0
"307",1058468,13,243.117647058824,4133
"308",1058597,19,172,1892
"309",1062923,27,195,585
"310",1067750,0,160,4800
"311",1074920,24,36.6666666666667,220
"312",1075311,0,54.6666666666667,1640
"313",1080054,30,NA,0
"314",1083358,26,277,1108
"315",1083376,27,615,1845
"316",1084930,28,186,372
"317",1086700,24,49,294
"318",1088142,9,121,2541
"319",1088272,29,172,172
"320",1088358,8,186,4092
"321",1090941,28,169,338
"322",1091009,21,429.111111111111,3862
"323",1091185,0,231.133333333333,6934
"324",1101978,30,NA,0
"325",1112412,30,NA,0
"326",1113821,28,150,300
"327",1119222,29,180,180
"328",1119356,30,NA,0
"329",1119707,30,NA,0
"330",1120544,30,NA,0
"331",1122663,21,262,2358
"332",1125865,28,447,894
"333",1128541,13,314,5338
"334",1129316,24,217,1302
"335",1131379,30,NA,0
"336",1132308,4,73.8461538461538,1920
"337",1133489,30,NA,0
"338",1133911,14,250,4000
"339",1134030,10,245,4900
"340",1134884,0,110,3300
"341",1135241,11,190,3610
"342",1137900,30,NA,0
"343",1139127,22,236,1888
"344",1139871,23,37.2857142857143,261
"345",1140090,23,72,504
"346",1142916,17,313.153846153846,4071
"347",1143297,30,NA,0
"348",1143827,28,400,800
"349",1144702,30,NA,0
"350",1146290,29,65,65
"351",1146914,28,258,516
"352",1147861,19,74.1818181818182,816
"353",1149596,5,170,4250
"354",1149891,16,89,1246
"355",1152754,26,158,632
"356",1153566,29,29,29
"357",1162753,27,175,525
"358",1167131,30,NA,0
"359",1169980,4,55,1430
"360",1171068,30,NA,0
"361",1174390,11,55,1045
"362",1176137,28,327,654
"363",1176182,29,204,204
"364",1178768,19,150,1650
"365",1178953,29,180,180
"366",1179067,12,155.555555555556,2800
"367",1179833,19,783.090909090909,8614
