"","listing_id","availability_30","price_30","revenue_30"
"4180",34744563,19,133.090909090909,1464
"4181",34764655,25,132,660
"4182",34767757,28,45,90
"4183",34774740,30,NA,0
"4184",34775472,26,105,420
"4185",34781583,30,NA,0
"4186",34792855,28,110,220
"4187",34796073,24,73.3333333333333,440
"4188",34797066,5,138,3450
"4189",34799169,10,616,12320
"4190",34799332,0,39.6666666666667,1190
"4191",34799834,0,60.3333333333333,1810
"4192",34804436,28,85,170
"4193",34805088,29,80,80
"4194",34806973,14,132,2112
"4195",34807416,14,220,3520
"4196",34807725,14,132,2112
"4197",34807992,10,120,2400
"4198",34808361,27,30,90
"4199",34811272,30,NA,0
"4200",34815543,7,34.1304347826087,785
"4201",34833784,5,44.2,1105
"4202",34837184,30,NA,0
"4203",34839485,25,64,320
"4204",34848582,14,191.1875,3059
"4205",34853031,30,NA,0
"4206",34868021,30,NA,0
"4207",34871805,0,109.666666666667,3290
"4208",34879845,29,51,51
"4209",34882863,25,73,365
"4210",34886755,17,34.7692307692308,452
"4211",34888088,0,163,4890
"4212",34888673,27,100,300
"4213",34889446,28,84.5,169
"4214",34890371,22,87.5,700
"4215",34895224,22,204.875,1639
"4216",34898106,0,86,2580
"4217",34902459,0,40,1200
"4218",34924404,30,NA,0
"4219",34924459,29,70,70
"4220",34925381,14,107.75,1724
"4221",34928565,1,25.2758620689655,733
"4222",34929888,0,25,750
"4223",34934496,28,19,38
"4224",34952306,23,47,329
"4225",34953669,16,94.8571428571429,1328
"4226",34953840,29,109,109
"4227",34954367,5,66.84,1671
"4228",34955400,29,134,134
"4229",34956903,29,47,47
"4230",34957358,20,20.7,207
"4231",34957949,15,100,1500
"4232",34960614,27,70,210
"4233",34964501,30,NA,0
"4234",34965396,27,145.666666666667,437
"4235",34966057,17,22.5384615384615,293
"4236",34966540,30,NA,0
"4237",34967028,0,162.666666666667,4880
"4238",34967285,26,86.25,345
"4239",34968401,29,75,75
"4240",34972060,10,171,3420
"4241",34977061,29,40,40
"4242",34989427,29,151,151
"4243",34989500,15,22.0666666666667,331
"4244",34989558,21,20,180
"4245",34989933,23,20.4285714285714,143
"4246",34990628,30,NA,0
"4247",34994392,0,80,2400
"4248",35000419,0,56.7666666666667,1703
"4249",35001919,26,75,300
"4250",35003108,4,124.807692307692,3245
"4251",35025536,29,103,103
"4252",35028097,13,58.8235294117647,1000
"4253",35030090,0,90,2700
"4254",35047343,0,97,2910
"4255",35054897,30,NA,0
"4256",35062479,20,63.9,639
"4257",35064031,16,147.857142857143,2070
"4258",35069465,0,50,1500
"4259",35075662,6,90,2160
"4260",35094138,28,28,56
"4261",35101611,0,350,10500
"4262",35102375,0,129,3870
"4263",35108227,23,63.8571428571429,447
"4264",35110219,14,21.0625,337
"4265",35110495,25,20.2,101
"4266",35112690,21,60,540
"4267",35113517,0,36.3333333333333,1090
"4268",35115673,28,60,120
"4269",35117073,29,86,86
"4270",35118245,0,65,1950
"4271",35120288,22,418.75,3350
"4272",35124086,19,82.9090909090909,912
"4273",35124087,14,225.375,3606
"4274",35124090,30,NA,0
"4275",35124091,30,NA,0
"4276",35140708,14,237.8125,3805
"4277",35143152,0,85,2550
"4278",35159456,14,171.25,2740
"4279",35170845,19,51.2727272727273,564
"4280",35170848,30,NA,0
"4281",35170850,28,61,122
"4282",35170855,21,71.3333333333333,642
"4283",35170862,21,55.8888888888889,503
"4284",35173954,30,NA,0
"4285",35176638,26,150,600
"4286",35176822,11,59.7368421052632,1135
"4287",35178417,28,27,54
"4288",35184425,29,85,85
"4289",35185436,26,99.5,398
"4290",35189155,19,142.909090909091,1572
"4291",35189268,30,NA,0
"4292",35199605,27,64,192
"4293",35205907,29,86,86
"4294",35208621,0,27.2333333333333,817
"4295",35209206,27,150,450
"4296",35210786,10,75.85,1517
"4297",35217155,28,28.5,57
"4298",35221869,28,42,84
"4299",35223059,29,50,50
"4300",35231557,24,36.5,219
"4301",35253504,27,37,111
"4302",35260426,30,NA,0
"4303",35292933,0,85,2550
"4304",35298691,29,120,120
"4305",35299869,11,45,855
"4306",35312627,30,NA,0
"4307",35315115,30,NA,0
"4308",35327651,13,82.1176470588235,1396
"4309",35327903,21,500,4500
"4310",35336008,30,NA,0
"4311",35339183,18,106.75,1281
"4312",35340085,10,238,4760
"4313",35340300,0,320,9600
"4314",35340447,17,120,1560
"4315",35340949,12,70,1260
"4316",35343831,29,180,180
"4317",35345843,12,65,1170
"4318",35346699,0,45.5,1365
"4319",35361821,0,156,4680
"4320",35371419,0,40,1200
"4321",35376815,29,80,80
"4322",35381834,27,143.333333333333,430
"4323",35383338,28,200,400
"4324",35393517,0,25,750
"4325",35398387,19,24.3636363636364,268
"4326",35398704,2,25.4642857142857,713
"4327",35399278,18,22.5,270
"4328",35405759,2,127.821428571429,3579
"4329",35416214,29,60,60
"4330",35417210,18,152.5,1830
"4331",35418067,29,104,104
"4332",35418479,28,85,170
"4333",35425089,18,96,1152
"4334",35439839,29,90,90
"4335",35439889,29,80,80
"4336",35439943,29,80,80
"4337",35439986,29,80,80
"4338",35440040,29,80,80
"4339",35442820,24,79,474
"4340",35445949,30,NA,0
"4341",35462547,29,50,50
"4342",35473753,0,80,2400
"4343",35483792,30,NA,0
"4344",35487987,0,99.8333333333333,2995
"4345",35490060,0,175,5250
"4346",35528697,28,50,100
"4347",35530946,1,122.931034482759,3565
"4348",35537792,30,NA,0
"4349",35538349,29,42,42
"4350",35540748,26,70,280
"4351",35553374,29,99,99
"4352",35555125,26,85,340
"4353",35558257,7,48.9130434782609,1125
"4354",35560826,30,NA,0
"4355",35561870,19,60.0909090909091,661
"4356",35562092,30,NA,0
"4357",35562284,30,NA,0
"4358",35568275,24,95,570
"4359",35568720,7,200,4600
"4360",35570797,0,50,1500
"4361",35581879,20,52.8,528
"4362",35588787,30,NA,0
"4363",35591098,10,73.85,1477
"4364",35594959,29,90,90
"4365",35602257,30,NA,0
"4366",35602532,17,62.3846153846154,811
"4367",35628615,6,41.25,990
"4368",35630300,29,95,95
"4369",35635136,28,60,120
"4370",35636204,0,69.6666666666667,2090
"4371",35637047,14,21,336
"4372",35659377,0,49.6666666666667,1490
"4373",35662701,12,51.6666666666667,930
"4374",35663686,28,72.5,145
"4375",35670536,4,81.1538461538462,2110
"4376",35670932,22,61.75,494
"4377",35678877,12,35.3888888888889,637
"4378",35681566,25,22.2,111
"4379",35682343,25,23.2,116
"4380",35682513,30,NA,0
"4381",35682639,25,23,115
"4382",35690453,30,NA,0
"4383",35692710,0,58.8333333333333,1765
"4384",35693394,0,58.8333333333333,1765
"4385",35695870,21,23.3333333333333,210
"4386",35696778,25,22.2,111
"4387",35702114,30,NA,0
"4388",35704733,29,80,80
"4389",35705613,29,75,75
"4390",35709585,29,40,40
"4391",35711519,10,110.6,2212
"4392",35751421,30,NA,0
"4393",35753614,23,188.714285714286,1321
"4394",35766094,16,200,2800
"4395",35773753,0,24,720
"4396",35774044,0,22,660
"4397",35778965,0,96.5,2895
"4398",35785679,30,NA,0
"4399",35789254,30,NA,0
"4400",35796322,0,31.0666666666667,932
"4401",35798683,29,90,90
"4402",35800746,4,79.6153846153846,2070
"4403",35802806,30,NA,0
"4404",35814277,29,51,51
"4405",35819325,23,200,1400
"4406",35820477,30,NA,0
"4407",35821948,29,132,132
"4408",35822229,30,NA,0
"4409",35823798,26,325,1300
"4410",35831711,6,31.5,756
"4411",35833402,10,81,1620
"4412",35833612,0,70,2100
"4413",35834097,30,NA,0
"4414",35840440,10,60,1200
"4415",35854498,27,50,150
"4416",35857177,9,60,1260
"4417",35860765,13,236.764705882353,4025
"4418",35867962,24,98,588
"4419",35868033,16,36.5,511
"4420",35872319,23,103.428571428571,724
"4421",35887160,28,50,100
"4422",35890543,0,58.2333333333333,1747
"4423",35894424,22,83.75,670
"4424",35895043,28,81,162
"4425",35895804,20,83.2,832
"4426",35896348,1,84.9655172413793,2464
"4427",35900412,14,69,1104
"4428",35902364,29,80,80
"4429",35908909,0,195.333333333333,5860
"4430",35911400,2,111.607142857143,3125
"4431",35924637,0,120,3600
"4432",35926306,24,90,540
"4433",35938672,9,60,1260
"4434",35942899,16,54.7857142857143,767
"4435",35944729,29,29,29
"4436",35957901,9,35.4761904761905,745
"4437",35958723,9,35.5714285714286,747
"4438",35966003,0,80,2400
"4439",35968846,10,33.75,675
"4440",35969015,0,135,4050
"4441",35991562,27,89,267
"4442",35997533,29,17,17
"4443",35999198,0,14.9666666666667,449
"4444",36009363,0,100,3000
"4445",36011487,17,100,1300
"4446",36017660,0,132,3960
"4447",36032451,0,229,6870
"4448",36034133,23,111.857142857143,783
"4449",36034465,30,NA,0
"4450",36047061,23,32.8571428571429,230
"4451",36051138,30,NA,0
"4452",36054240,13,106.176470588235,1805
"4453",36055595,20,18.6,186
"4454",36056070,0,59.6666666666667,1790
"4455",36060112,30,NA,0
"4456",36066669,30,NA,0
"4457",36066940,30,NA,0
"4458",36068521,13,98.8235294117647,1680
"4459",36068570,30,NA,0
"4460",36069901,28,80,160
"4461",36073336,0,31.0666666666667,932
"4462",36085961,20,585,5850
"4463",36087786,20,663,6630
"4464",36089846,29,43,43
"4465",36101231,30,NA,0
"4466",36102229,30,NA,0
"4467",36107489,24,61.6666666666667,370
"4468",36122516,0,98.3,2949
"4469",36128398,7,62.6086956521739,1440
"4470",36135257,29,135,135
"4471",36137902,30,NA,0
"4472",36140967,4,32.3461538461538,841
"4473",36141378,18,308.333333333333,3700
"4474",36141493,7,33.695652173913,775
"4475",36142267,5,32.6,815
"4476",36167244,15,105.666666666667,1585
"4477",36167820,30,NA,0
"4478",36168676,29,120,120
"4479",36187856,30,NA,0
"4480",36189213,2,55.5714285714286,1556
"4481",36193545,25,95,475
"4482",36193548,30,NA,0
"4483",36193555,30,NA,0
"4484",36193562,30,NA,0
"4485",36197883,0,85.1333333333333,2554
"4486",36204854,0,105.333333333333,3160
"4487",36205804,0,178.666666666667,5360
"4488",36208252,29,60,60
"4489",36226527,25,107.8,539
"4490",36231509,30,NA,0
"4491",36233563,0,74,2220
"4492",36234860,17,82.2307692307692,1069
"4493",36242110,30,NA,0
"4494",36242819,30,NA,0
"4495",36242906,30,NA,0
"4496",36250622,30,NA,0
"4497",36256027,0,110,3300
"4498",36256782,24,83,498
"4499",36260552,0,500,15000
"4500",36265356,23,113.285714285714,793
"4501",36270113,30,NA,0
"4502",36270262,0,47.6666666666667,1430
"4503",36294921,13,60.8823529411765,1035
"4504",36299274,29,98,98
"4505",36303814,0,62.6666666666667,1880
"4506",36304797,12,55.6111111111111,1001
"4507",36305798,29,122,122
"4508",36313115,30,NA,0
"4509",36328168,0,61.8,1854
"4510",36330713,30,NA,0
"4511",36335851,30,NA,0
"4512",36336083,30,NA,0
"4513",36339387,29,30,30
"4514",36340865,30,NA,0
"4515",36351048,29,70,70
"4516",36351457,0,35.3333333333333,1060
"4517",36353366,29,140,140
"4518",36364933,24,125,750
"4519",36365785,27,65,195
"4520",36367046,29,140,140
"4521",36367838,30,NA,0
"4522",36369557,30,NA,0
"4523",36374208,18,76.6666666666667,920
"4524",36379035,13,66.1764705882353,1125
"4525",36379503,22,75,600
"4526",36380865,0,78.2333333333333,2347
"4527",36381707,24,35,210
"4528",36384002,0,52.6666666666667,1580
"4529",36406452,30,NA,0
"4530",36409984,29,60,60
"4531",36414738,30,NA,0
"4532",36420896,17,39,507
"4533",36422160,30,NA,0
"4534",36433209,29,140,140
"4535",36439037,6,97.5,2340
"4536",36439050,29,75,75
"4537",36439646,30,NA,0
"4538",36439649,30,NA,0
"4539",36441105,16,275.714285714286,3860
"4540",36459951,0,86.3333333333333,2590
"4541",36462474,2,99,2772
"4542",36462503,0,59.6666666666667,1790
