"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","the-netherlands","amsterdam",2020-08-18,2818,"Oostelijk Havengebied - Indische Buurt",52.36575,4.94142,"Private room in apartment","Private room",2,1,2,59,3,1125,22,59,472
"2","the-netherlands","amsterdam",2020-08-18,20168,"Centrum-Oost",52.36509,4.89354,"Private room in townhouse","Private room",2,1,1,209,1,365,0,201,6030
"3","the-netherlands","amsterdam",2020-08-18,25428,"Centrum-West",52.37297,4.88339,"Entire apartment","Entire home/apt",3,1,1,125,14,180,16,125,1750
"4","the-netherlands","amsterdam",2020-08-18,27886,"Centrum-West",52.38761,4.89188,"Private room in houseboat","Private room",2,1,1,135,2,730,10,139,2780
"5","the-netherlands","amsterdam",2020-08-18,28871,"Centrum-West",52.36719,4.89092,"Private room in apartment","Private room",2,1,1,75,2,1825,23,75,525
"6","the-netherlands","amsterdam",2020-08-18,29051,"Centrum-West",52.36773,4.89151,"Private room in apartment","Private room",1,1,1,55,2,730,17,55,715
"7","the-netherlands","amsterdam",2020-08-18,31080,"Zuid",52.35132,4.84838,"Entire apartment","Entire home/apt",4,3,3,219,3,365,0,219,6570
"8","the-netherlands","amsterdam",2020-08-18,41125,"Centrum-West",52.37891,4.88321,"Entire apartment","Entire home/apt",3,1,1,160,4,35,0,160,4800
"9","the-netherlands","amsterdam",2020-08-18,43109,"Centrum-West",52.37537,4.88932,"Entire apartment","Entire home/apt",4,2,4,211,3,30,30,0,0
"10","the-netherlands","amsterdam",2020-08-18,43980,"Zuid",52.35746,4.86124,"Entire apartment","Entire home/apt",2,1,2,79,30,365,2,79,2212
"11","the-netherlands","amsterdam",2020-08-18,46386,"De Pijp - Rivierenbuurt",52.35247,4.90825,"Entire apartment","Entire home/apt",2,1,1,150,3,1825,0,150,4500
"12","the-netherlands","amsterdam",2020-08-18,47061,"De Baarsjes - Oud-West",52.36799,4.87447,"Entire apartment","Entire home/apt",3,2,2,140,2,60,0,140,4200
"13","the-netherlands","amsterdam",2020-08-18,48076,"Centrum-West",52.38042,4.89453,"Private room in bed and breakfast","Private room",4,2,3,220,4,60,10,276,5520
"14","the-netherlands","amsterdam",2020-08-18,49552,"Centrum-West",52.38028,4.89089,"Entire guest suite","Entire home/apt",3,2,2,166,3,1124,30,0,0
"15","the-netherlands","amsterdam",2020-08-18,49790,"De Baarsjes - Oud-West",52.36266,4.86103,"Boat","Entire home/apt",4,2,2,250,3,365,30,0,0
"16","the-netherlands","amsterdam",2020-08-18,50515,"Bos en Lommer",52.37727,4.83925,"Entire townhouse","Entire home/apt",6,3,3,115,4,15,0,115,3450
"17","the-netherlands","amsterdam",2020-08-18,50518,"Westerpark",52.38201,4.87865,"Entire apartment","Entire home/apt",2,1,1,120,2,1120,4,120.230769230769,3126
"18","the-netherlands","amsterdam",2020-08-18,50523,"Centrum-West",52.36841,4.88413,"Private room in bed and breakfast","Private room",2,1,1,82,2,365,15,89,1335
"19","the-netherlands","amsterdam",2020-08-18,52490,"Oostelijk Havengebied - Indische Buurt",52.37005,4.93869,"Private room in apartment","Private room",2,1,1,74,2,20,0,74.6666666666667,2240
"20","the-netherlands","amsterdam",2020-08-18,53067,"De Pijp - Rivierenbuurt",52.35339,4.90064,"Private room in guesthouse","Private room",2,1,0,40,7,150,2,40,1120
"21","the-netherlands","amsterdam",2020-08-18,53671,"Westerpark",52.38905,4.88559,"Private room in guest suite","Private room",2,1,1,100,3,14,26,100,400
"22","the-netherlands","amsterdam",2020-08-18,53692,"De Pijp - Rivierenbuurt",52.35348,4.90049,"Private room in townhouse","Private room",3,1,3,73,10,150,18,70.6666666666667,848
"23","the-netherlands","amsterdam",2020-08-18,55256,"Centrum-Oost",52.37126,4.90351,"Private room in apartment","Private room",2,1,1,90,1,365,0,90,2700
"24","the-netherlands","amsterdam",2020-08-18,55621,"De Pijp - Rivierenbuurt",52.35386,4.89772,"Entire apartment","Entire home/apt",4,2,2,222,3,24,0,222,6660
"25","the-netherlands","amsterdam",2020-08-18,55703,"Bos en Lommer",52.37561,4.85819,"Entire apartment","Entire home/apt",4,3,3,257,3,31,30,0,0
"26","the-netherlands","amsterdam",2020-08-18,55709,"Centrum-Oost",52.35896,4.89726,"Entire loft","Entire home/apt",3,1,1,159,4,30,0,177.666666666667,5330
"27","the-netherlands","amsterdam",2020-08-18,55807,"De Baarsjes - Oud-West",52.36966,4.86203,"Private room in apartment","Private room",2,1,1,65,2,7,0,65,1950
"28","the-netherlands","amsterdam",2020-08-18,55868,"Zuid",52.35613,4.88515,"Entire apartment","Entire home/apt",4,2,2,175,4,21,0,155.033333333333,4651
"29","the-netherlands","amsterdam",2020-08-18,58211,"Centrum-West",52.36916,4.88445,"Private room in townhouse","Private room",4,2,2,155,3,365,20,165,1650
"30","the-netherlands","amsterdam",2020-08-18,62015,"Oud-Oost",52.36445,4.93124,"Entire apartment","Entire home/apt",2,1,1,121,3,7,29,125,125
"31","the-netherlands","amsterdam",2020-08-18,62801,"Bos en Lommer",52.38459,4.85463,"Entire apartment","Entire home/apt",4,2,1,750,30,30,30,0,0
"32","the-netherlands","amsterdam",2020-08-18,64736,"De Baarsjes - Oud-West",52.36348,4.86783,"Houseboat","Entire home/apt",2,1,1,189,3,30,0,189,5670
"33","the-netherlands","amsterdam",2020-08-18,64769,"Centrum-Oost",52.36225,4.902,"Entire townhouse","Entire home/apt",4,3,6,450,4,1125,0,450,13500
"34","the-netherlands","amsterdam",2020-08-18,67841,"De Pijp - Rivierenbuurt",52.35472,4.89324,"Entire apartment","Entire home/apt",2,1,1,106,2,30,0,105.333333333333,3160
"35","the-netherlands","amsterdam",2020-08-18,68290,"Centrum-West",52.36887,4.89523,"Private room in apartment","Private room",2,1,2,158,3,30,0,157.266666666667,4718
"36","the-netherlands","amsterdam",2020-08-18,68873,"Centrum-West",52.3695,4.89556,"Private room in apartment","Private room",2,1,1,98,3,30,0,98.1,2943
"37","the-netherlands","amsterdam",2020-08-18,69042,"Centrum-West",52.37353,4.87691,"Room in bed and breakfast","Hotel room",2,1,1,131,3,365,0,149.9,4497
"38","the-netherlands","amsterdam",2020-08-18,70598,"Noord-West",52.41433,4.92014,"Private room in house","Private room",2,1,1,40,1,15,16,40,560
"39","the-netherlands","amsterdam",2020-08-18,73208,"Zuid",52.35935,4.87672,"Entire apartment","Entire home/apt",4,2,0,220,5,1125,0,220,6600
"40","the-netherlands","amsterdam",2020-08-18,75382,"Oud-Oost",52.36482,4.92762,"Private room in apartment","Private room",3,1,2,105,3,90,13,105,1785
"41","the-netherlands","amsterdam",2020-08-18,75444,"Oud-Oost",52.36551,4.92848,"Private room in apartment","Private room",2,1,1,70,3,100,14,70,1120
"42","the-netherlands","amsterdam",2020-08-18,75499,"De Baarsjes - Oud-West",52.36145,4.87696,"Private room in apartment","Private room",2,1,1,115,4,30,25,115,575
