"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","portugal","lisbon",2020-09-20,6499,"Belm",38.6975,-9.19768,"Entire apartment","Entire home/apt",3,1,1,79,3,365,0,79,2370
"2","portugal","lisbon",2020-09-20,25659,"Santa Maria Maior",38.71167,-9.12696,"Entire apartment","Entire home/apt",3,1,1,45,3,21,30,0,0
"3","portugal","lisbon",2020-09-20,29248,"Santa Maria Maior",38.71272,-9.12628,"Entire apartment","Entire home/apt",4,1,2,38,1,1125,0,39.5666666666667,1187
"4","portugal","lisbon",2020-09-20,29396,"Santa Maria Maior",38.71239,-9.12887,"Entire apartment","Entire home/apt",4,1,1,34,2,1125,12,37.3888888888889,673
"5","portugal","lisbon",2020-09-20,29915,"Avenidas Novas",38.74712,-9.15286,"Entire apartment","Entire home/apt",3,1,0,48,5,365,4,48,1248
"6","portugal","lisbon",2020-09-20,33348,"Lumiar",38.76381,-9.15256,"Private room in apartment","Private room",6,1,3,40,1,730,0,40,1200
"7","portugal","lisbon",2020-09-20,40817,"Misericrdia",38.70898,-9.14312,"Entire apartment","Entire home/apt",2,1,1,39,1,1125,10,39,780
"8","portugal","lisbon",2020-09-20,42519,"Misericrdia",38.71082,-9.1509,"Entire apartment","Entire home/apt",2,1,1,65,1,1125,0,63,1890
"9","portugal","lisbon",2020-09-20,48025,"Misericrdia",38.71309,-9.14392,"Entire apartment","Entire home/apt",2,1,0,65,5,365,30,0,0
"10","portugal","lisbon",2020-09-20,48058,"Cascais e Estoril",38.6965,-9.42571,"Entire house","Entire home/apt",4,1,2,75,5,1125,29,75,75
"11","portugal","lisbon",2020-09-20,48854,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,"Entire apartment","Entire home/apt",7,4,6,180,5,31,4,180,4680
"12","portugal","lisbon",2020-09-20,49673,"Alenquer (Santo Estvo e Triana)",39.05965,-9.04733,"Entire cottage","Entire home/apt",8,4,7,200,7,30,23,200,1400
"13","portugal","lisbon",2020-09-20,50108,"Estrela",38.70388,-9.1652,"Entire apartment","Entire home/apt",4,1,1,81,2,365,1,66.8965517241379,1940
"14","portugal","lisbon",2020-09-20,52298,"Misericrdia",38.71213,-9.14921,"Entire apartment","Entire home/apt",2,2,0,310,1,730,30,0,0
"15","portugal","lisbon",2020-09-20,55116,"Avenidas Novas",38.726,-9.15545,"Private room in bed and breakfast","Private room",2,2,2,85,2,730,30,0,0
"16","portugal","lisbon",2020-09-20,56906,"So Vicente",38.71851,-9.12439,"Entire apartment","Entire home/apt",2,0,1,103,2,180,0,90.4333333333333,2713
"17","portugal","lisbon",2020-09-20,65878,"Misericrdia",38.71191,-9.14632,"Entire loft","Entire home/apt",4,1,1,110,2,90,16,110,1540
"18","portugal","lisbon",2020-09-20,75171,"Estrela",38.70501,-9.16348,"Entire apartment","Entire home/apt",5,2,2,80,2,1095,29,80,80
"19","portugal","lisbon",2020-09-20,76132,"Campolide",38.72807,-9.16311,"Entire apartment","Entire home/apt",2,1,1,59,1,1125,0,59,1770
"20","portugal","lisbon",2020-09-20,83615,"Estrela",38.71255,-9.16001,"Entire apartment","Entire home/apt",2,1,1,85,3,730,30,0,0
"21","portugal","lisbon",2020-09-20,83700,"Cascais e Estoril",38.70018,-9.43272,"Entire apartment","Entire home/apt",4,0,1,39,4,1125,1,35.1379310344828,1019
"22","portugal","lisbon",2020-09-20,83933,"So Vicente",38.72034,-9.12892,"Entire apartment","Entire home/apt",3,1,1,80,2,20,0,80,2400
"23","portugal","lisbon",2020-09-20,84599,"Santa Maria Maior",38.7106,-9.13689,"Entire apartment","Entire home/apt",5,2,3,179.71,1,1125,0,171.633333333333,5149
"24","portugal","lisbon",2020-09-20,85270,"Santa Maria Maior",38.71516,-9.14011,"Entire apartment","Entire home/apt",5,3,3,100,3,365,28,100,200
"25","portugal","lisbon",2020-09-20,88312,"Santo Antnio",38.72361,-9.1434,"Entire apartment","Entire home/apt",4,2,2,65,3,10,27,65,195
"26","portugal","lisbon",2020-09-20,88410,"So Vicente",38.71527,-9.12307,"Entire apartment","Entire home/apt",4,1,0,75,3,730,30,0,0
"27","portugal","lisbon",2020-09-20,89015,"Misericrdia",38.7124,-9.14989,"Entire house","Entire home/apt",4,2,3,125,3,365,29,125,125
"28","portugal","lisbon",2020-09-20,90931,"Santo Antnio",38.71767,-9.15262,"Entire apartment","Entire home/apt",4,2,4,120,3,365,30,0,0
"29","portugal","lisbon",2020-09-20,93829,"So Vicente",38.71912,-9.13058,"Entire guest suite","Entire home/apt",2,1,1,51.43,1,730,0,51.3333333333333,1540
"30","portugal","lisbon",2020-09-20,95212,"Estrela",38.70716,-9.1525,"Entire apartment","Entire home/apt",6,3,4,100,2,120,21,100,900
"31","portugal","lisbon",2020-09-20,97503,"Santo Antnio",38.72024,-9.14317,"Private room in apartment","Private room",1,1,1,22,20,150,16,22,308
"32","portugal","lisbon",2020-09-20,103252,"So Vicente",38.71725,-9.13007,"Entire apartment","Entire home/apt",4,1,1,101,2,300,0,94.3333333333333,2830
"33","portugal","lisbon",2020-09-20,104580,"Barcarena",38.7462,-9.2786,"Private room in house","Private room",1,1,1,17,1,90,30,0,0
"34","portugal","lisbon",2020-09-20,107159,"Estrela",38.70236,-9.17488,"Private room in boat","Private room",4,1,1,360,1,730,30,0,0
"35","portugal","lisbon",2020-09-20,108058,"Alvalade",38.74907,-9.13965,"Private room in apartment","Private room",1,1,1,35,5,180,5,34.08,852
"36","portugal","lisbon",2020-09-20,112497,"Cascais e Estoril",38.69922,-9.44053,"Entire condominium","Entire home/apt",4,1,2,120,4,365,28,120,240
"37","portugal","lisbon",2020-09-20,117979,"Alcabideche",38.71773,-9.41087,"Private room in apartment","Private room",2,1,1,89,1,730,30,0,0
"38","portugal","lisbon",2020-09-20,119120,"Estrela",38.70927,-9.16122,"Entire apartment","Entire home/apt",4,2,2,48,3,90,0,50.8666666666667,1526
"39","portugal","lisbon",2020-09-20,122572,"So Domingos de Benfica",38.75623,-9.17507,"Private room in apartment","Private room",1,1,1,62,1,3,0,62.3333333333333,1870
"40","portugal","lisbon",2020-09-20,125578,"Santa Maria Maior",38.71512,-9.13518,"Entire apartment","Entire home/apt",2,1,1,54,2,1125,30,0,0
"41","portugal","lisbon",2020-09-20,125835,"Vila Franca de Xira",38.95722,-9.00264,"Private room in apartment","Private room",2,1,1,50,1,730,30,0,0
"42","portugal","lisbon",2020-09-20,125848,"So Vicente",38.71478,-9.1241,"Entire apartment","Entire home/apt",3,1,1,69,3,180,29,69,69
"43","portugal","lisbon",2020-09-20,126646,"Penha de Frana",38.72828,-9.13192,"Private room in apartment","Private room",3,1,3,27,1,180,29,27,27
"44","portugal","lisbon",2020-09-20,130708,"Arroios",38.71869,-9.13694,"Private room in apartment","Private room",2,1,1,26,3,28,22,26.25,210
"45","portugal","lisbon",2020-09-20,130799,"Carcavelos e Parede",38.68647,-9.32989,"Private room in villa","Private room",10,5,5,66,6,366,17,66,858
"46","portugal","lisbon",2020-09-20,133645,"Santa Maria Maior",38.71079,-9.13223,"Entire apartment","Entire home/apt",3,1,2,40,2,30,16,43.5714285714286,610
"47","portugal","lisbon",2020-09-20,134438,"So Vicente",38.71955,-9.1229,"Entire apartment","Entire home/apt",2,1,1,70,2,1125,3,72.962962962963,1970
"48","portugal","lisbon",2020-09-20,135261,"Misericrdia",38.71104,-9.14551,"Entire apartment","Entire home/apt",4,2,2,90,30,365,22,90,720
"49","portugal","lisbon",2020-09-20,136433,"Algueiro-Mem Martins",38.80698,-9.34995,"Private room in apartment","Private room",1,1,1,40,1,730,30,0,0
"50","portugal","lisbon",2020-09-20,137054,"Santa Maria Maior",38.71216,-9.13113,"Entire apartment","Entire home/apt",3,1,2,40,2,30,29,40,40
"51","portugal","lisbon",2020-09-20,137461,"Misericrdia",38.71363,-9.14435,"Entire apartment","Entire home/apt",2,1,1,65,7,730,19,65,715
"52","portugal","lisbon",2020-09-20,138929,"Santa Maria Maior",38.71231,-9.12918,"Entire apartment","Entire home/apt",2,1,2,48,2,365,6,34.6666666666667,832
"53","portugal","lisbon",2020-09-20,138999,"Santa Maria Maior",38.71018,-9.13292,"Entire apartment","Entire home/apt",5,2,2,75,2,365,0,75,2250
"54","portugal","lisbon",2020-09-20,140080,"Misericrdia",38.71308,-9.14514,"Entire apartment","Entire home/apt",12,5,5,132,2,380,0,137.066666666667,4112
"55","portugal","lisbon",2020-09-20,141883,"Cascais e Estoril",38.6961,-9.42215,"Entire apartment","Entire home/apt",2,0,1,68,2,1125,5,68,1700
"56","portugal","lisbon",2020-09-20,144396,"Venda do Pinheiro e Santo Estvo das Gals",38.87536,-9.2401,"Private room in house","Private room",2,1,1,45,1,730,30,0,0
"57","portugal","lisbon",2020-09-20,144851,"Misericrdia",38.71095,-9.14402,"Entire apartment","Entire home/apt",4,1,1,65,1,90,15,65,975
"58","portugal","lisbon",2020-09-20,144955,"Santo Antnio",38.72173,-9.14137,"Entire apartment","Entire home/apt",4,2,2,70,3,45,0,53.8666666666667,1616
"59","portugal","lisbon",2020-09-20,145101,"Colares",38.82264,-9.4612,"Entire house","Entire home/apt",12,6,12,178,4,90,22,177.875,1423
"60","portugal","lisbon",2020-09-20,147738,"Santa Maria Maior",38.71613,-9.13267,"Entire apartment","Entire home/apt",4,2,3,75,2,730,30,0,0
"61","portugal","lisbon",2020-09-20,148344,"Colares",38.78808,-9.45999,"Entire cottage","Entire home/apt",6,3,5,130,3,30,26,130,520
"62","portugal","lisbon",2020-09-20,149589,"Santa Maria Maior",38.71331,-9.13314,"Entire apartment","Entire home/apt",3,1,2,55,1,60,3,52.3333333333333,1413
"63","portugal","lisbon",2020-09-20,150895,"Santa Maria Maior",38.71151,-9.12676,"Entire apartment","Entire home/apt",2,1,1,55,2,365,0,55,1650
"64","portugal","lisbon",2020-09-20,150945,"Santa Maria Maior",38.71295,-9.13172,"Entire loft","Entire home/apt",4,1,2,74,2,365,0,71.1666666666667,2135
"65","portugal","lisbon",2020-09-20,151327,"Santa Maria Maior",38.71227,-9.12942,"Entire apartment","Entire home/apt",4,1,2,52,2,365,30,0,0
"66","portugal","lisbon",2020-09-20,151909,"Rio de Mouro",38.75831,-9.34034,"Private room in house","Private room",2,1,1,45,2,28,30,0,0
"67","portugal","lisbon",2020-09-20,155865,"Alcntara",38.707,-9.17749,"Entire apartment","Entire home/apt",6,2,3,65,2,330,30,0,0
"68","portugal","lisbon",2020-09-20,158255,"Estrela",38.71009,-9.15388,"Entire apartment","Entire home/apt",4,2,0,350,31,1125,28,350,700
"69","portugal","lisbon",2020-09-20,161268,"Santo Antnio",38.71563,-9.1457,"Entire apartment","Entire home/apt",6,2,4,109,3,180,0,108.333333333333,3250
"70","portugal","lisbon",2020-09-20,162533,"Santa Maria Maior",38.71339,-9.13562,"Entire apartment","Entire home/apt",2,1,1,52,3,95,25,55,275
"71","portugal","lisbon",2020-09-20,166114,"Santa Maria Maior",38.71417,-9.14054,"Entire apartment","Entire home/apt",3,1,2,71,4,30,8,71.3636363636364,1570
"72","portugal","lisbon",2020-09-20,172638,"Santa Maria Maior",38.71228,-9.13037,"Entire apartment","Entire home/apt",2,1,1,79,3,28,20,79,790
"73","portugal","lisbon",2020-09-20,174064,"Misericrdia",38.71385,-9.14969,"Entire apartment","Entire home/apt",6,3,4,77,4,1124,0,77,2310
"74","portugal","lisbon",2020-09-20,174529,"So Vicente",38.71784,-9.13221,"Entire apartment","Entire home/apt",4,1,1,78,4,60,0,77,2310
"75","portugal","lisbon",2020-09-20,176153,"Misericrdia",38.70817,-9.14368,"Entire apartment","Entire home/apt",4,2,3,124,1,90,0,100.4,3012
"76","portugal","lisbon",2020-09-20,178515,"Santa Maria Maior",38.70968,-9.13277,"Entire apartment","Entire home/apt",6,3,3,60,3,730,28,60,120
"77","portugal","lisbon",2020-09-20,178524,"Santa Maria Maior",38.71055,-9.13248,"Entire apartment","Entire home/apt",6,3,3,85,3,365,25,85,425
"78","portugal","lisbon",2020-09-20,181107,"Arroios",38.72156,-9.13266,"Private room in apartment","Private room",2,1,1,31,3,7,30,0,0
"79","portugal","lisbon",2020-09-20,184888,"Parque das Naes",38.76821,-9.09786,"Entire condominium","Entire home/apt",6,2,6,118,3,365,29,115,115
"80","portugal","lisbon",2020-09-20,185126,"Santa Maria Maior",38.71252,-9.14162,"Entire apartment","Entire home/apt",6,1,4,50,30,365,6,50,1200
"81","portugal","lisbon",2020-09-20,186996,"Santa Maria Maior",38.7155,-9.13513,"Entire apartment","Entire home/apt",2,1,1,36,4,1124,29,30,30
"82","portugal","lisbon",2020-09-20,187442,"Santa Maria Maior",38.71074,-9.13134,"Entire apartment","Entire home/apt",4,2,2,64,2,30,30,0,0
"83","portugal","lisbon",2020-09-20,189676,"Misericrdia",38.70997,-9.14864,"Entire loft","Entire home/apt",2,0,1,94,4,365,21,93.3333333333333,840
"84","portugal","lisbon",2020-09-20,193321,"Santo Antnio",38.71982,-9.14255,"Private room in apartment","Private room",3,2,3,25,10,365,29,25,25
"85","portugal","lisbon",2020-09-20,196619,"Penha de Frana",38.72545,-9.12151,"Entire apartment","Entire home/apt",4,1,0,65,1,730,0,65,1950
"86","portugal","lisbon",2020-09-20,198480,"Lumiar",38.7762,-9.14973,"Entire apartment","Entire home/apt",2,1,2,29,8,1125,12,26.9444444444444,485
"87","portugal","lisbon",2020-09-20,199461,"Santa Maria Maior",38.71138,-9.13655,"Entire apartment","Entire home/apt",5,2,3,87,2,360,12,95,1710
"88","portugal","lisbon",2020-09-20,205532,"Santa Maria Maior",38.71042,-9.14096,"Entire apartment","Entire home/apt",2,0,1,130,3,730,30,0,0
"89","portugal","lisbon",2020-09-20,208683,"Santa Maria Maior",38.70934,-9.13202,"Entire apartment","Entire home/apt",4,2,2,60,3,730,6,60,1440
"90","portugal","lisbon",2020-09-20,210714,"Estrela",38.70463,-9.16318,"Entire apartment","Entire home/apt",4,1,1,34,3,180,0,31.9,957
"91","portugal","lisbon",2020-09-20,211614,"Cascais e Estoril",38.71015,-9.40746,"Entire apartment","Entire home/apt",3,1,5,65,3,365,30,0,0
"92","portugal","lisbon",2020-09-20,211616,"Santa Maria Maior",38.71315,-9.12715,"Entire apartment","Entire home/apt",4,1,2,75,3,31,30,0,0
"93","portugal","lisbon",2020-09-20,214729,"Alvalade",38.75048,-9.146,"Private room in apartment","Private room",1,1,1,30,4,365,28,30,60
"94","portugal","lisbon",2020-09-20,217187,"Santa Maria Maior",38.71212,-9.12848,"Entire apartment","Entire home/apt",2,1,1,70,2,150,0,63.6666666666667,1910
"95","portugal","lisbon",2020-09-20,217281,"Alvalade",38.74891,-9.14651,"Private room in apartment","Private room",1,1,1,22,5,365,28,22,44
"96","portugal","lisbon",2020-09-20,218584,"Colares",38.79325,-9.47854,"Entire apartment","Entire home/apt",4,2,3,80,5,90,24,80,480
"97","portugal","lisbon",2020-09-20,220359,"Avenidas Novas",38.73524,-9.15035,"Entire apartment","Entire home/apt",2,1,1,40,2,1124,27,40,120
