"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","portugal","porto",2020-07-25,41339,"Lordelo do Ouro e Massarelos",41.1501,-8.66035,"Apartment","Entire home/apt",5,1,3,58,5,120,0,85,2550
"2","portugal","porto",2020-07-25,55111,"Cete",41.17481,-8.35362,"Apartment","Entire home/apt",5,2,5,66,3,60,0,115,3450
"3","portugal","porto",2020-07-25,70925,"Santa Marinha e São Pedro da Afurada",41.1381,-8.61108,"Apartment","Entire home/apt",6,2,2,97,5,240,16,67.5714285714286,946
"4","portugal","porto",2020-07-25,73828,"Cete",41.17449,-8.35426,"Apartment","Entire home/apt",5,2,5,66,3,60,0,115,3450
"5","portugal","porto",2020-07-25,76436,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13925,-8.61477,"Apartment","Entire home/apt",3,1,2,91,2,540,26,126.25,505
"6","portugal","porto",2020-07-25,86388,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,"Apartment","Private room",2,1,1,44,3,31,0,20,600
"7","portugal","porto",2020-07-25,87873,"Bonfim",41.15786,-8.60427,"Apartment","Entire home/apt",4,2,2,50,2,14,25,75,375
"8","portugal","porto",2020-07-25,91439,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,"Apartment","Private room",2,1,1,44,3,31,0,18,540
"9","portugal","porto",2020-07-25,94701,"Bonfim",41.14707,-8.60109,"Apartment","Entire home/apt",3,1,1,47,3,365,7,50.8260869565217,1169
"10","portugal","porto",2020-07-25,96394,"Canidelo",41.1411,-8.65148,"Boat","Entire home/apt",4,2,2,200,1,5,29,250,250
"11","portugal","porto",2020-07-25,100521,"Gulpilhares e Valadares",41.07378,-8.65368,"Apartment","Private room",1,1,1,80,1,730,30,0,0
"12","portugal","porto",2020-07-25,100661,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,"Apartment","Private room",2,1,2,36,3,365,0,18,540
"13","portugal","porto",2020-07-25,104045,"Bonfim",41.15877,-8.59893,"Apartment","Entire home/apt",10,5,6,160,4,120,30,0,0
"14","portugal","porto",2020-07-25,105347,"Oliveira do Douro",41.12961,-8.58427,"Guesthouse","Entire home/apt",4,2,3,49,3,28,0,50,1500
"15","portugal","porto",2020-07-25,108153,"Anta e Guetim",40.99902,-8.6163,"Guesthouse","Private room",2,1,0,60,2,1125,27,60,180
"16","portugal","porto",2020-07-25,113586,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,"Apartment","Entire home/apt",3,1,2,45,4,60,2,45,1260
"17","portugal","porto",2020-07-25,122362,"Paranhos",41.17563,-8.62323,"House","Entire home/apt",9,4,6,75,2,730,29,89,89
"18","portugal","porto",2020-07-25,125872,"Mafamude e Vilar do Paraíso",41.12424,-8.61346,"Apartment","Private room",2,1,0,25,1,365,30,0,0
"19","portugal","porto",2020-07-25,127208,"Campanhã",41.1546,-8.58985,"House","Private room",4,1,3,25,2,30,0,27.8333333333333,835
"20","portugal","porto",2020-07-25,128557,"Santa Marinha e São Pedro da Afurada",41.12557,-8.61512,"Apartment","Private room",2,1,1,25,1,365,23,24.1428571428571,169
"21","portugal","porto",2020-07-25,131994,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,"Apartment","Entire home/apt",2,1,1,60,3,365,16,28.4285714285714,398
"22","portugal","porto",2020-07-25,133099,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,"Apartment","Entire home/apt",4,1,2,70,3,365,8,40,880
"23","portugal","porto",2020-07-25,133803,"Canidelo",41.1277,-8.66321,"Condominium","Entire home/apt",6,2,5,102,1,1125,10,97.75,1955
"24","portugal","porto",2020-07-25,134570,"Madalena",41.1041,-8.65946,"Apartment","Entire home/apt",6,3,4,120,3,27,0,202,6060
"25","portugal","porto",2020-07-25,139425,"Bonfim",41.14622,-8.59423,"Apartment","Entire home/apt",6,1,4,52,1,365,18,67,804
"26","portugal","porto",2020-07-25,141255,"São Mamede de Infesta e Senhora da Hora",41.19279,-8.66029,"Apartment","Private room",2,2,2,40,2,31,20,82.8,828
"27","portugal","porto",2020-07-25,147502,"Lourosa",40.98939,-8.53652,"House","Private room",1,1,1,42,1,730,30,0,0
"28","portugal","porto",2020-07-25,155127,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,"Apartment","Entire home/apt",6,3,5,40,3,31,24,66.6666666666667,400
"29","portugal","porto",2020-07-25,155723,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,"House","Entire home/apt",5,3,3,80,3,30,0,80,2400
"30","portugal","porto",2020-07-25,165699,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,"Apartment","Entire home/apt",10,5,5,190,2,90,30,0,0
"31","portugal","porto",2020-07-25,169321,"Bonfim",41.14536,-8.59792,"Apartment","Entire home/apt",6,2,4,80,3,365,30,0,0
"32","portugal","porto",2020-07-25,173827,"Lordelo do Ouro e Massarelos",41.16188,-8.66014,"Condominium","Entire home/apt",4,1,3,50,3,180,14,45.3125,725
"33","portugal","porto",2020-07-25,186655,"Lordelo do Ouro e Massarelos",41.15206,-8.65228,"Townhouse","Entire home/apt",6,3,5,65,2,15,13,63.8235294117647,1085
"34","portugal","porto",2020-07-25,186946,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,"Apartment","Entire home/apt",2,1,1,78,2,30,29,121,121
"35","portugal","porto",2020-07-25,187740,"São João de Ver",40.95188,-8.56173,"Apartment","Private room",2,1,2,50,1,10,30,0,0
"36","portugal","porto",2020-07-25,189368,"Azurara",41.33771,-8.74118,"Condominium","Entire home/apt",5,2,4,69,2,15,1,110.172413793103,3195
"37","portugal","porto",2020-07-25,191005,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15276,-8.60847,"Apartment","Entire home/apt",6,2,4,60,3,120,30,0,0
"38","portugal","porto",2020-07-25,207475,"Santa Marinha e São Pedro da Afurada",41.13109,-8.61375,"Loft","Entire home/apt",2,0,1,48,2,15,0,31,930
"39","portugal","porto",2020-07-25,208147,"Fornelo e Vairão",41.32667,-8.65956,"House","Private room",2,1,2,30,4,730,17,30,390
