"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","the-netherlands","amsterdam",2020-09-09,2818,"Oostelijk Havengebied - Indische Buurt",52.36575,4.94142,"Private room in apartment","Private room",2,1,2,59,3,1125,29,59,59
"2","the-netherlands","amsterdam",2020-09-09,20168,"Centrum-Oost",52.36509,4.89354,"Private room in townhouse","Private room",2,1,1,216,1,365,0,224.666666666667,6740
"3","the-netherlands","amsterdam",2020-09-09,25428,"Centrum-West",52.37297,4.88339,"Entire apartment","Entire home/apt",3,1,1,125,14,180,0,125,3750
"4","the-netherlands","amsterdam",2020-09-09,27886,"Centrum-West",52.38761,4.89188,"Private room in houseboat","Private room",2,1,1,141,2,730,24,138.333333333333,830
"5","the-netherlands","amsterdam",2020-09-09,28871,"Centrum-West",52.36719,4.89092,"Private room in apartment","Private room",2,1,1,75,2,1825,23,75,525
"6","the-netherlands","amsterdam",2020-09-09,29051,"Centrum-West",52.36773,4.89151,"Private room in apartment","Private room",1,1,1,55,2,730,30,0,0
"7","the-netherlands","amsterdam",2020-09-09,31080,"Zuid",52.35132,4.84838,"Entire apartment","Entire home/apt",4,3,3,219,3,365,0,219,6570
"8","the-netherlands","amsterdam",2020-09-09,41125,"Centrum-West",52.37891,4.88321,"Entire apartment","Entire home/apt",3,1,1,160,4,35,0,160,4800
"9","the-netherlands","amsterdam",2020-09-09,43109,"Centrum-West",52.37537,4.88932,"Entire apartment","Entire home/apt",4,2,4,211,3,30,27,211,633
"10","the-netherlands","amsterdam",2020-09-09,43980,"Zuid",52.35746,4.86124,"Entire apartment","Entire home/apt",2,1,2,79,30,365,25,79,395
"11","the-netherlands","amsterdam",2020-09-09,44129,"Centrum-West",52.38071,4.8861,"Entire apartment","Entire home/apt",3,1,1,320,7,1125,8,321.727272727273,7078
"12","the-netherlands","amsterdam",2020-09-09,46386,"De Pijp - Rivierenbuurt",52.35247,4.90825,"Entire apartment","Entire home/apt",2,1,1,150,3,1825,0,150,4500
"13","the-netherlands","amsterdam",2020-09-09,47061,"De Baarsjes - Oud-West",52.36799,4.87447,"Entire apartment","Entire home/apt",3,2,2,140,2,60,4,140,3640
