"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","portugal","porto",2020-09-19,41339,"Lordelo do Ouro e Massarelos",41.1501,-8.66035,"Entire apartment","Entire home/apt",5,1,3,78,5,120,0,75.6666666666667,2270
"2","portugal","porto",2020-09-19,42462,"Mafamude e Vilar do Paraíso",41.10739,-8.5943,"Entire apartment","Entire home/apt",6,3,5,73,30,365,0,73.3333333333333,2200
"3","portugal","porto",2020-09-19,55111,"Cete",41.17481,-8.35362,"Entire apartment","Entire home/apt",5,2,5,66,3,60,0,66,1980
"4","portugal","porto",2020-09-19,73828,"Cete",41.17449,-8.35426,"Entire apartment","Entire home/apt",5,2,5,66,3,60,0,66,1980
"5","portugal","porto",2020-09-19,76436,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13951,-8.61453,"Entire apartment","Entire home/apt",3,1,2,120,2,540,26,96.75,387
"6","portugal","porto",2020-09-19,86388,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,"Private room in apartment","Private room",2,1,1,25,3,31,6,20.8333333333333,500
"7","portugal","porto",2020-09-19,87873,"Bonfim",41.15786,-8.60427,"Entire apartment","Entire home/apt",4,2,2,73,2,14,19,65.4545454545455,720
"8","portugal","porto",2020-09-19,91439,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,"Private room in apartment","Private room",2,1,1,25,3,31,10,18,360
"9","portugal","porto",2020-09-19,94701,"Bonfim",41.14707,-8.60109,"Entire apartment","Entire home/apt",3,1,1,42,3,365,0,47,1410
"10","portugal","porto",2020-09-19,96394,"Canidelo",41.1411,-8.65148,"Boat","Entire home/apt",4,2,2,214.29,1,5,29,200,200
"11","portugal","porto",2020-09-19,100521,"Gulpilhares e Valadares",41.07378,-8.65368,"Private room in apartment","Private room",1,1,1,80,1,730,30,0,0
"12","portugal","porto",2020-09-19,100661,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,"Private room in apartment","Private room",2,1,2,25,3,365,10,18,360
"13","portugal","porto",2020-09-19,104045,"Bonfim",41.15877,-8.59893,"Entire apartment","Entire home/apt",10,5,6,90,4,120,23,90,630
"14","portugal","porto",2020-09-19,105347,"Oliveira do Douro",41.12961,-8.58427,"Entire guesthouse","Entire home/apt",4,2,3,50,3,28,4,50,1300
"15","portugal","porto",2020-09-19,108153,"Anta e Guetim",40.99902,-8.6163,"Private room in guesthouse","Private room",2,1,0,50,2,1125,30,0,0
"16","portugal","porto",2020-09-19,113586,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,"Entire apartment","Entire home/apt",3,1,2,41,4,60,4,40.1923076923077,1045
"17","portugal","porto",2020-09-19,122362,"Paranhos",41.17563,-8.62323,"Entire house","Entire home/apt",9,4,6,80,2,730,30,0,0
"18","portugal","porto",2020-09-19,125872,"Mafamude e Vilar do Paraíso",41.12424,-8.61346,"Private room in apartment","Private room",2,1,1,52,1,365,30,0,0
"19","portugal","porto",2020-09-19,127208,"Campanhã",41.1546,-8.58985,"Private room in house","Private room",4,1,3,26,2,30,14,26.5625,425
"20","portugal","porto",2020-09-19,128557,"Santa Marinha e São Pedro da Afurada",41.12557,-8.61512,"Private room in apartment","Private room",2,1,1,26,1,365,29,26,26
"21","portugal","porto",2020-09-19,131994,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,"Entire apartment","Entire home/apt",2,1,1,15,3,365,22,15.125,121
"22","portugal","porto",2020-09-19,133099,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,"Entire apartment","Entire home/apt",4,1,2,30,3,365,6,30,720
"23","portugal","porto",2020-09-19,133803,"Canidelo",41.1277,-8.66321,"Entire condominium","Entire home/apt",6,2,5,68,3,1125,0,70,2100
"24","portugal","porto",2020-09-19,134570,"Madalena",41.1041,-8.65946,"Entire apartment","Entire home/apt",6,3,4,190,2,27,27,190,570
"25","portugal","porto",2020-09-19,139425,"Bonfim",41.14622,-8.59423,"Entire apartment","Entire home/apt",6,1,4,51,1,365,0,51,1530
"26","portugal","porto",2020-09-19,141255,"São Mamede de Infesta e Senhora da Hora",41.19279,-8.66029,"Private room in apartment","Private room",2,2,2,73,2,31,30,0,0
"27","portugal","porto",2020-09-19,155127,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,"Entire apartment","Entire home/apt",6,3,5,56,3,31,30,0,0
"28","portugal","porto",2020-09-19,155723,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,"Entire house","Entire home/apt",5,3,3,80,3,30,0,80,2400
"29","portugal","porto",2020-09-19,165699,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,"Entire apartment","Entire home/apt",10,5,5,190,2,90,30,0,0
"30","portugal","porto",2020-09-19,169321,"Bonfim",41.14536,-8.59792,"Entire apartment","Entire home/apt",6,2,4,83,3,365,28,83,166
"31","portugal","porto",2020-09-19,173827,"Lordelo do Ouro e Massarelos",41.16188,-8.66014,"Entire condominium","Entire home/apt",4,1,3,50,3,180,26,50,200
"32","portugal","porto",2020-09-19,186655,"Lordelo do Ouro e Massarelos",41.15206,-8.65228,"Entire townhouse","Entire home/apt",6,3,5,65,2,15,29,65,65
"33","portugal","porto",2020-09-19,186946,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,"Entire apartment","Entire home/apt",2,1,1,102,2,180,23,123.285714285714,863
"34","portugal","porto",2020-09-19,189368,"Azurara",41.33771,-8.74118,"Entire condominium","Entire home/apt",5,2,4,92,2,15,0,89,2670
"35","portugal","porto",2020-09-19,191005,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15276,-8.60847,"Entire apartment","Entire home/apt",6,2,4,80,3,120,30,0,0
"36","portugal","porto",2020-09-19,207475,"Santa Marinha e São Pedro da Afurada",41.13109,-8.61375,"Entire loft","Entire home/apt",2,0,1,31,2,15,0,31,930
